arm_id,arm_tech,arm_type,arm_class,force_mnax,attack,defence,hp,speed,shoot_range,attack_speed,attack_plus,telent_id,telent_value,telent_range,levelup_resource,recruit_resource,maintenance_resource,collect_speed,arm_need,soldiers_need,levy_time,city_camp,city_camp_type,warfare,arm_load,first_attack,arm_image,arm_dodge,arm_crit,arm_crit_damege,arm_recover_need,arm_recoer_time,arm_attack_type,arm_def_type,ai_id,arm_attack_image,view,Formation_id,time_hit,movesound
1203109,1250003,1203001,1203000,200,29,9,49,0.7,3,1,1,0,0,{},"{""1101001"":2804400,""1101002"":5608800,""1101003"":5608800,""1102003"":2804400,""1102001"":5608800,""1102004"":5608800}","{""1101001"":205,""1101002"":410,""1101003"":410,""1102003"":205,""1102001"":410,""1102004"":410,""1102002"":1,""1101004"":1}","{""1101001"":0.043}",0.6,"{""1902003"":25}",1203108,1.7,1902003,1,91,864,2,12030011,0,0,1,"{""1101001"":164,""1101002"":328,""1101003"":328,""1102003"":164,""1102001"":328,""1102004"":328}",1.36,2,1,5000101,2,5,59,500,yidong_bubing
1203110,1250004,1203001,1203000,200,35,11,55,0.7,3,1,1,0,0,{},"{""1101001"":5266800,""1101002"":10533600,""1101003"":10533600,""1102003"":5266800,""1102001"":10533600,""1102004"":10533600}","{""1101001"":308,""1101002"":616,""1101003"":616,""1102003"":308,""1102001"":616,""1102004"":616,""1102002"":1,""1101004"":1}","{""1101001"":0.058}",0.72,"{""1902003"":30}",1203109,2.567,1902003,1,128,1037,2,12030011,0,0,1,"{""1101001"":246,""1101002"":493,""1101003"":493,""1102003"":246,""1102001"":493,""1102004"":493}",2.053,2,1,5000101,2,5,60,500,yidong_bubing
1203201,1260001,1203002,1203000,200,6,4,24,1,2,1,1,0,0,{},{},"{""1101001"":14,""1101002"":28,""1101003"":28,""1101004"":1}","{""1101001"":0.005}",0.12,"{""1902003"":1}",0,0.033,1902003,2,5,173,1.5,12030021,0,0,1,"{""1101001"":11,""1101002"":22,""1101003"":22}",0.027,2,1,5000101,2,5,41,500,yidong_qibing
1203202,1260001,1203002,1203000,200,8,5,28,1,2,1,1,0,0,{},"{""1101001"":3800,""1101002"":7980,""1101003"":7980,""1102003"":6840,""1102001"":6080,""1102004"":6840,""1102002"":380}","{""1101001"":10,""1101002"":21,""1101003"":21,""1102003"":18,""1102001"":16,""1102004"":18,""1101004"":1}","{""1101001"":0.007}",0.18,"{""1902003"":4}",1203201,0.05,1902003,2,7,259,1.5,12030021,0,0,1,"{""1101001"":8,""1101002"":17,""1101003"":17,""1102003"":14,""1102001"":13,""1102004"":14}",0.04,2,1,5000101,2,5,42,500,yidong_qibing
1203203,1260001,1203002,1203000,200,8,5,30,1,2,1,1,0,0,{},"{""1101001"":18240,""1101002"":36480,""1101003"":36480,""1102003"":31920,""1102001"":27360,""1102004"":31920,""1102002"":1140}","{""1101001"":16,""1101002"":32,""1101003"":32,""1102003"":28,""1102001"":24,""1102004"":28,""1101004"":1}","{""1101001"":0.01}",0.24,"{""1902003"":7}",1203202,0.1,1902003,2,11,346,1.5,12030021,0,0,1,"{""1101001"":13,""1101002"":26,""1101003"":26,""1102003"":22,""1102001"":19,""1102004"":22}",0.08,2,1,5000101,2,5,43,500,yidong_qibing
1203204,1260002,1203002,1203000,200,9,5,31,1,2,1,1,0,0,{},"{""1101001"":54720,""1101002"":107160,""1101003"":107160,""1102003"":93480,""1102001"":79800,""1102004"":93480,""1102002"":2280}","{""1101001"":24,""1101002"":47,""1101003"":47,""1102003"":41,""1102001"":35,""1102004"":41,""1101004"":1}","{""1101001"":0.013}",0.3,"{""1902003"":10}",1203203,0.15,1902003,2,15,432,1.5,12030021,0,0,1,"{""1101001"":19,""1101002"":38,""1101003"":38,""1102003"":33,""1102001"":28,""1102004"":33}",0.12,2,1,5000101,2,5,44,500,yidong_qibing
1203205,1260002,1203002,1203000,200,11,6,36,1,2,1,1,0,0,{},"{""1101001"":136800,""1101002"":269800,""1101003"":269800,""1102003"":235600,""1102001"":201400,""1102004"":235600,""1102002"":3800}","{""1101001"":36,""1101002"":71,""1101003"":71,""1102003"":62,""1102001"":53,""1102004"":62,""1101004"":1}","{""1101001"":0.017}",0.36,"{""1902003"":13}",1203204,0.267,1902003,2,21,518,1.5,12030021,0,0,1,"{""1101001"":29,""1101002"":57,""1101003"":57,""1102003"":50,""1102001"":42,""1102004"":50}",0.213,2,1,5000101,2,5,45,500,yidong_qibing
1203206,1260002,1203002,1203000,200,14,8,40,1,2,1,1,0,0,{},"{""1101001"":302100,""1101002"":609900,""1101003"":609900,""1102003"":530100,""1102001"":456000,""1102004"":530100,""1102002"":5700}","{""1101001"":53,""1101002"":107,""1101003"":107,""1102003"":93,""1102001"":80,""1102004"":93,""1101004"":1}","{""1101001"":0.023}",0.42,"{""1902003"":16}",1203205,0.45,1902003,2,30,605,1.5,12030021,0,0,1,"{""1101001"":42,""1101002"":86,""1101003"":86,""1102003"":74,""1102001"":64,""1102004"":74}",0.36,2,1,5000101,2,5,46,500,yidong_qibing
1203207,1260003,1203002,1203000,200,14,8,40,1,2,1,1,0,0,{},"{""1101001"":638400,""1101002"":1268820,""1101003"":1268820,""1102003"":1109220,""1102001"":949620,""1102004"":1109220,""1102002"":7980}","{""1101001"":80,""1101002"":159,""1101003"":159,""1102003"":139,""1102001"":119,""1102004"":139,""1101004"":1}","{""1101001"":0.031}",0.48,"{""1902003"":19}",1203206,0.667,1902003,2,42,691,1.5,12030021,0,0,1,"{""1101001"":64,""1101002"":127,""1101003"":127,""1102003"":111,""1102001"":95,""1102004"":111}",0.533,2,1,5000101,2,5,47,500,yidong_qibing
1203208,1260003,1203002,1203000,200,18,10,44,1,2,1,1,0,0,{},"{""1101001"":1266160,""1101002"":2532320,""1101003"":2532320,""1102003"":2223760,""1102001"":1904560,""1102004"":2223760,""1102002"":10640}","{""1101001"":119,""1101002"":238,""1101003"":238,""1102003"":209,""1102001"":179,""1102004"":209,""1101004"":1}","{""1101001"":0.042}",0.54,"{""1902003"":22}",1203207,1,1902003,2,60,778,1.5,12030021,0,0,1,"{""1101001"":95,""1101002"":190,""1101003"":190,""1102003"":167,""1102001"":143,""1102004"":167}",0.8,2,1,5000101,2,5,48,500,yidong_qibing
1203209,1260003,1203002,1203000,200,22,12,49,1,2,1,1,0,0,{},"{""1101001"":2448720,""1101002"":4897440,""1101003"":4897440,""1102003"":4295520,""1102001"":3679920,""1102004"":4295520,""1102002"":13680}","{""1101001"":179,""1101002"":358,""1101003"":358,""1102003"":314,""1102001"":269,""1102004"":314,""1101004"":1}","{""1101001"":0.055}",0.6,"{""1902003"":25}",1203208,1.5,1902003,2,84,864,1.5,12030021,0,0,1,"{""1101001"":143,""1101002"":286,""1101003"":286,""1102003"":251,""1102001"":215,""1102004"":251}",1.2,2,1,5000101,2,5,49,500,yidong_qibing
1203210,1260004,1203002,1203000,200,27,15,54,1,2,1,1,0,0,{},"{""1101001"":4617000,""1101002"":9234000,""1101003"":9234000,""1102003"":8071200,""1102001"":6925500,""1102004"":8071200,""1102002"":17100}","{""1101001"":270,""1101002"":540,""1101003"":540,""1102003"":472,""1102001"":405,""1102004"":472,""1101004"":1}","{""1101001"":0.075}",0.72,"{""1902003"":30}",1203209,2.25,1902003,2,119,1037,1.5,12030021,0,0,1,"{""1101001"":216,""1101002"":432,""1101003"":432,""1102003"":378,""1102001"":324,""1102004"":378}",1.8,2,1,5000101,2,5,50,500,yidong_qibing
1204101,1270001,1204001,1204000,200,4,6,51,0.5,1,0.25,1,0,0,{},{},"{""1101001"":22,""1101002"":44,""1101003"":44,""1101004"":1}","{""1101001"":0.01}",0.2,"{""1902004"":1}",0,0.05,1902004,1,7,288,2,1204001,0,0,1,"{""1101001"":18,""1101002"":35,""1101003"":35}",0.04,3,3,5000101,3,5,61,900,yidong_jixie
1204102,1270001,1204001,1204000,200,5,8,63,0.5,1,0.25,1,0,0,{},"{""1101001"":6080,""1101002"":12540,""1101003"":12540,""1102003"":14060,""1102001"":7980,""1102004"":9500}","{""1101001"":16,""1101002"":33,""1101003"":33,""1102003"":37,""1102001"":21,""1102004"":25,""1101004"":1}","{""1101001"":0.014}",0.3,"{""1902004"":4}",1204101,0.083,1902004,1,9,432,2,1204001,0,0,1,"{""1101001"":13,""1101002"":26,""1101003"":26,""1102003"":30,""1102001"":17,""1102004"":20}",0.067,3,3,5000101,3,5,62,900,yidong_jixie
1204103,1270001,1204001,1204000,200,5,8,66,0.5,1,0.25,1,0,0,{},"{""1101001"":28500,""1101002"":57000,""1101003"":57000,""1102003"":63840,""1102001"":35340,""1102004"":42180}","{""1101001"":25,""1101002"":50,""1101003"":50,""1102003"":56,""1102001"":31,""1102004"":37,""1101004"":1}","{""1101001"":0.019}",0.4,"{""1902004"":7}",1204102,0.15,1902004,1,13,576,2,1204001,0,0,1,"{""1101001"":20,""1101002"":40,""1101003"":40,""1102003"":45,""1102001"":25,""1102004"":30}",0.12,3,3,5000101,3,5,63,900,yidong_jixie
1204104,1270002,1204001,1204000,200,6,9,64,0.5,1,0.25,1,0,0,{},"{""1101001"":84360,""1101002"":168720,""1101003"":168720,""1102003"":191520,""1102001"":107160,""1102004"":127680}","{""1101001"":37,""1101002"":74,""1101003"":74,""1102003"":84,""1102001"":47,""1102004"":56,""1101004"":1}","{""1101001"":0.025}",0.5,"{""1902004"":10}",1204103,0.25,1902004,1,19,720,2,1204001,0,0,1,"{""1101001"":30,""1101002"":59,""1101003"":59,""1102003"":67,""1102001"":38,""1102004"":45}",0.2,3,3,5000101,3,5,64,900,yidong_jixie
1204105,1270002,1204001,1204000,200,7,11,72,0.5,1,0.25,1,0,0,{},"{""1101001"":212800,""1101002"":421800,""1101003"":421800,""1102003"":475000,""1102001"":266000,""1102004"":315400}","{""1101001"":56,""1101002"":111,""1101003"":111,""1102003"":125,""1102001"":70,""1102004"":83,""1101004"":1}","{""1101001"":0.032}",0.6,"{""1902004"":13}",1204104,0.417,1902004,1,27,864,2,1204001,0,0,1,"{""1101001"":45,""1101002"":89,""1101003"":89,""1102003"":100,""1102001"":56,""1102004"":66}",0.333,3,3,5000101,3,5,65,900,yidong_jixie
1204106,1270002,1204001,1204000,200,8,13,80,0.5,1,0.25,1,0,0,{},"{""1101001"":478800,""1101002"":951900,""1101003"":951900,""1102003"":1071600,""1102001"":598500,""1102004"":712500}","{""1101001"":84,""1101002"":167,""1101003"":167,""1102003"":188,""1102001"":105,""1102004"":125,""1101004"":1}","{""1101001"":0.045}",0.7,"{""1902004"":16}",1204105,0.7,1902004,1,37,1008,2,1204001,0,0,1,"{""1101001"":67,""1101002"":134,""1101003"":134,""1102003"":150,""1102001"":84,""1102004"":100}",0.56,3,3,5000101,3,5,66,900,yidong_jixie
1204107,1270003,1204001,1204000,200,9,14,76,0.5,1,0.25,1,0,0,{},"{""1101001"":997500,""1101002"":1995000,""1101003"":1995000,""1102003"":2250360,""1102001"":1252860,""1102004"":1500240}","{""1101001"":125,""1101002"":250,""1101003"":250,""1102003"":282,""1102001"":157,""1102004"":188,""1101004"":1}","{""1101001"":0.061}",0.8,"{""1902004"":19}",1204106,1.05,1902004,1,53,1152,2,1204001,0,0,1,"{""1101001"":100,""1101002"":200,""1101003"":200,""1102003"":226,""1102001"":126,""1102004"":150}",0.84,3,3,5000101,3,5,67,900,yidong_jixie
1204108,1270003,1204001,1204000,200,11,18,82,0.5,1,0.25,1,0,0,{},"{""1101001"":2000320,""1101002"":4000640,""1101003"":4000640,""1102003"":4500720,""1102001"":2500400,""1102004"":3000480}","{""1101001"":188,""1101002"":376,""1101003"":376,""1102003"":423,""1102001"":235,""1102004"":282,""1101004"":1}","{""1101001"":0.084}",0.9,"{""1902004"":22}",1204107,1.567,1902004,1,75,1296,2,1204001,0,0,1,"{""1101001"":150,""1101002"":301,""1101003"":301,""1102003"":338,""1102001"":188,""1102004"":226}",1.253,3,3,5000101,3,5,68,900,yidong_jixie
1204109,1270003,1204001,1204000,200,14,21,89,0.5,1,0.25,1,0,0,{},"{""1101001"":3844080,""1101002"":7701840,""1101003"":7701840,""1102003"":8659440,""1102001"":4815360,""1102004"":5772960}","{""1101001"":281,""1101002"":563,""1101003"":563,""1102003"":633,""1102001"":352,""1102004"":422,""1101004"":1}","{""1101001"":0.114}",1,"{""1902004"":25}",1204108,2.35,1902004,1,106,1440,2,1204001,0,0,1,"{""1101001"":225,""1101002"":450,""1101003"":450,""1102003"":506,""1102001"":282,""1102004"":338}",1.88,3,3,5000101,3,5,69,900,yidong_jixie
1204110,1270004,1204001,1204000,200,16,26,98,0.5,1,0.25,1,0,0,{},"{""1101001"":7216200,""1101002"":14432400,""1101003"":14432400,""1102003"":16245000,""1102001"":9028800,""1102004"":10824300}","{""1101001"":422,""1101002"":844,""1101003"":844,""1102003"":950,""1102001"":528,""1102004"":633,""1101004"":1}","{""1101001"":0.156}",1.2,"{""1902004"":30}",1204109,3.517,1902004,1,150,1728,2,1204001,0,0,1,"{""1101001"":338,""1101002"":675,""1101003"":675,""1102003"":760,""1102001"":422,""1102004"":506}",2.813,3,3,5000101,3,5,70,900,yidong_jixie
